Country,Weight
美國,2564
中國大陸,2287
菲律賓,1043
香港,896
德國,503
日本,473
加拿大,439
越南,396
馬來西亞,369
澳大利亞,312
新加坡,238
大韓民國,205
英國,136
荷蘭,121
印尼,100
泰國,91
法國,46
澳門,34
瑞典,19
柬埔寨王國,15
紐西蘭,15
義大利,12
墨西哥,11
瑞士,9
智利,9
俄羅斯,8
巴西,7
波蘭,7
南非,6
密克羅尼西亞,6
緬甸,6
阿拉伯聯合大公國,6
哥斯大黎加,5
哥倫比亞,5
愛爾蘭,4
挪威,4
捷克,3
汶萊,3
拉脫維亞,3
卡達,3
帛琉群島,2
立陶宛,2
關島,2
蒙古,1
秘魯,1
丹麥,1
烏拉圭,1
比利時,1
模里西斯,1
阿根廷,1
沙烏地阿拉伯,1
西班牙,1
千里達,1
匈牙利,1
烏克蘭,1
蘇利南,1
奧地利,1
黎巴嫩,0
宏都拉斯,0
白俄羅斯,0
巴拿馬,0
厄瓜多,0
塞席爾共和國,0
斐濟群島,0
芬蘭,0
摩洛哥,0
希臘,0
留尼旺,0
賽普勒斯,0
巴哈馬,0
法屬玻里尼西亞,0
以色列,0
科威特,0
保加利亞,0
印度,0
巴基斯坦,0
薩爾瓦多,0
瓜地馬拉,0
賴索托,0
多明尼加,0
羅馬尼亞,0
馬爾地夫,0
迦納,0
馬紹爾群島,0
愛沙尼亞,0
巴布亞紐幾內亞,0
克羅埃西亞,0
聖露西亞,0
史瓦帝尼,0
吐瓦魯,0
吉里巴斯,0
巴拉圭,0
盧森堡,0
荷屬聖馬丁,0
尼加拉瓜,0
阿爾及利亞,0
