country,percent,value,government_expense,population
Australia,1.877445484,21157.077,2686.451,23815995
Austria,3.049690499,13143.432,602.285,8629519
Belgium,2.428165588,12647.776,1161.732,11238474
Canada,1.693242854,27004.698,1878.943,35702908
Czech Republic,1.916889603,6852.955,1398.258,10542942
Denmark,3.054966482,8515.669,189.998,5678348
Finland,2.871963479,6687.872,546.628,5479528
France,2.267030775,61629.121,7860.991,66512558
Germany,2.933791744,114097.564,16045.823,81686608
Greece,0.96747359,2797.411,787.019,10820883
Hungary,1.34065748,3533.59,469.555,9843025
Iceland,2.18138989,355.053,16.517,330818
Ireland,1.182674778,3839.388,168.213,4687787
Italy,1.33850443,29994.847,3940.2,60229599
Japan,3.240707296,168514.032,13310.52,127094745
Korea,3.978200252,76922.04,9032.609,51014947
Luxembourg,1.302198172,751.537,223.997,569605
Mexico,0.429427152,9577.037,2884.555,121347800
Netherlands,2.146062075,18281.974,1111.141,16939925
New Zealand,1.228166366,2121.766,445.192,4609400
Norway,1.935260327,6061.828,911.682,5189898
Poland,1.002752744,10232.017,2496.039,38454576
Portugal,1.243297938,3819.784,247.674,10358076
Slovak Republic,1.162467491,1886.431,525.566,5423800.5
Spain,1.222357297,19815.265,3790.956,46410149
Sweden,3.21903452,15489.052,529.342,9799183
Switzerland,3.264438349,17850.126,156.911,8282398
Turkey,0.876893337,17734.271,1832.992,78218488
United Kingdom,1.647495547,45665.946,3028.08,65110034
United States,2.718964886,495094,54666,320738994
Argentina,0.618540979,5363.844,2744.487,43131966
Chile,0.380727106,1552.903,121.296,17971423
China,2.05701037,366080.932,59161.083,1406847868
Estonia,1.457111285,563.302,60.847,1314608
Israel,4.260854631,12666.909,211.013,8380149
Romania,0.48838137,2090.917,799.922,19822250
Russia,1.100852282,38818.631,12059.532,146406004
Singapore,2.181981045,10503.907,1168.57,3902690
Slovenia,2.19564741,1433.009,193.547,2063077
South Africa,0.798459349,5551.117,1331.086,55319826
Taiwan,2.99980018,33058.821,4014.259,23492074
