年度,地區別,特用作物類別,種植面積,收穫面積,每公頃平均產量,產量
"2020","新北市","茶葉","751.76","666.53","2513.717","418.867"
"2020","台北市","茶葉","63","63","2775.238","43.71"
"2020","桃園市","茶葉","541.13","450.06","3501.169","393.934"
"2020","台中市","茶葉","457.5","457.5","1800.516","205.934"
"2020","台南市","茶葉","0.2","0.2","4000","0.2"
"2020","高雄市","茶葉","126.48","126.48","4222.802","133.525"
"2020","宜蘭縣","茶葉","164.36","158.75","2705.335","107.368"
"2020","新竹縣","茶葉","400.03","398.03","4269.628","424.86"
"2020","苗栗縣","茶葉","270.87","270.87","3127.877","211.812"
"2020","彰化縣","茶葉","2.42","2.42","4806.612","2.908"
"2020","南投縣","茶葉","6546.81","6458.41","6041.665","9754.887"
"2020","雲林縣","茶葉","348.52","348.52","3984.345","347.156"
"2020","嘉義縣","茶葉","1805.61","1805.61","3922.59","1770.667"
"2020","屏東縣","茶葉","468.22","338","3498.32","295.608"
"2020","台東縣","茶葉","183.1","181.7","2985.603","135.621"
"2020","花蓮縣","茶葉","135.42","123.92","3029.406","93.851"
"2020","澎湖縣","茶葉","0","0","0","0"
"2020","基隆市","茶葉","0.02","0.02","2600","0.013"
"2020","新竹市","茶葉","0.5","0.5","3200","0.4"
"2020","嘉義市","茶葉","0","0","0","0"
"2020","金門縣","茶葉","0","0","0","0"
"2020","連江縣","茶葉","0","0","0","0"
"2020","新北市","菸草","-","-","-","-"
"2020","台北市","菸草","-","-","-","-"
"2020","桃園市","菸草","-","-","-","-"
"2020","台中市","菸草","-","-","-","-"
"2020","台南市","菸草","-","-","-","-"
"2020","高雄市","菸草","-","-","-","-"
"2020","宜蘭縣","菸草","-","-","-","-"
"2020","新竹縣","菸草","-","-","-","-"
"2020","苗栗縣","菸草","-","-","-","-"
"2020","彰化縣","菸草","-","-","-","-"
"2020","南投縣","菸草","-","-","-","-"
"2020","雲林縣","菸草","-","-","-","-"
"2020","嘉義縣","菸草","-","-","-","-"
"2020","屏東縣","菸草","-","-","-","-"
"2020","台東縣","菸草","-","-","-","-"
"2020","花蓮縣","菸草","-","-","-","-"
"2020","澎湖縣","菸草","-","-","-","-"
"2020","基隆市","菸草","-","-","-","-"
"2020","新竹市","菸草","-","-","-","-"
"2020","嘉義市","菸草","-","-","-","-"
"2020","金門縣","菸草","-","-","-","-"
"2020","連江縣","菸草","-","-","-","-"
"2020","新北市","製糖甘蔗-白糖","-","-","-","-"
"2020","台北市","製糖甘蔗-白糖","-","-","-","-"
"2020","桃園市","製糖甘蔗-白糖","-","-","-","-"
"2020","台中市","製糖甘蔗-白糖","-","-","-","-"
"2020","台南市","製糖甘蔗-白糖","1667","1636","62557","102326"
"2020","高雄市","製糖甘蔗-白糖","69","69","63361","4386"
"2020","宜蘭縣","製糖甘蔗-白糖","-","-","-","-"
"2020","新竹縣","製糖甘蔗-白糖","-","-","-","-"
"2020","苗栗縣","製糖甘蔗-白糖","-","-","-","-"
"2020","彰化縣","製糖甘蔗-白糖","990","977","69459","67849"
"2020","南投縣","製糖甘蔗-白糖","-","-","-","-"
"2020","雲林縣","製糖甘蔗-白糖","2654","2613","71663","187287"
"2020","嘉義縣","製糖甘蔗-白糖","2705","2680","63038","168948"
"2020","屏東縣","製糖甘蔗-白糖","-","-","-","-"
"2020","台東縣","製糖甘蔗-白糖","-","-","-","-"
"2020","花蓮縣","製糖甘蔗-白糖","-","-","-","-"
"2020","澎湖縣","製糖甘蔗-白糖","-","-","-","-"
"2020","基隆市","製糖甘蔗-白糖","-","-","-","-"
"2020","新竹市","製糖甘蔗-白糖","-","-","-","-"
"2020","嘉義市","製糖甘蔗-白糖","-","-","-","-"
"2020","金門縣","製糖甘蔗-白糖","-","-","-","-"
"2020","連江縣","製糖甘蔗-白糖","-","-","-","-"
"2020","新北市","樹薯","10.12","8.75","11288.457","98.774"
"2020","台北市","樹薯","-","-","-","-"
"2020","桃園市","樹薯","1.2","1.01","13045.545","13.176"
"2020","台中市","樹薯","0.2","0.2","13525","2.705"
"2020","台南市","樹薯","3.74","3.74","15889.037","59.425"
"2020","高雄市","樹薯","9.56","9.56","13746.339","131.415"
"2020","宜蘭縣","樹薯","1.36","0.96","17117.708","16.433"
"2020","新竹縣","樹薯","0.44","0.44","13681.818","6.02"
"2020","苗栗縣","樹薯","6.27","6.27","13474.003","84.482"
"2020","彰化縣","樹薯","0.3","0.3","12000","3.6"
"2020","南投縣","樹薯","0.34","0.34","9764.706","3.32"
"2020","雲林縣","樹薯","-","-","-","-"
"2020","嘉義縣","樹薯","5.38","5.38","15042.751","80.93"
"2020","屏東縣","樹薯","2.33","2.33","13484.549","31.419"
"2020","台東縣","樹薯","0.6","0.6","14918.333","8.951"
"2020","花蓮縣","樹薯","2.98","2.58","13069.38","33.719"
"2020","澎湖縣","樹薯","0.03","0.03","9000","0.27"
"2020","基隆市","樹薯","-","-","-","-"
"2020","新竹市","樹薯","-","-","-","-"
"2020","嘉義市","樹薯","0.12","0.12","15000","1.8"
"2020","金門縣","樹薯","-","-","-","-"
"2020","連江縣","樹薯","-","-","-","-"
"2020","新北市","食用甘蔗","2.61","1.94","17369.072","33.696"
"2020","台北市","食用甘蔗","-","-","-","-"
"2020","桃園市","食用甘蔗","1.23","1.23","14258.537","17.538"
"2020","台中市","食用甘蔗","3.21","3.21","32295.639","103.669"
"2020","台南市","食用甘蔗","95.33","95.33","64301.741","6129.885"
"2020","高雄市","食用甘蔗","26.04","25.93","66100.578","1713.988"
"2020","宜蘭縣","食用甘蔗","4.29","3.59","17466.574","62.705"
"2020","新竹縣","食用甘蔗","3.15","3.15","20301.587","63.95"
"2020","苗栗縣","食用甘蔗","3.74","3.74","35938.235","134.409"
"2020","彰化縣","食用甘蔗","43.62","43.62","80297.318","3502.569"
"2020","南投縣","食用甘蔗","101.09","100.94","108898.058","10992.17"
"2020","雲林縣","食用甘蔗","67.06","67.06","92079.749","6174.868"
