country,percent,value,population
Australia,1.877445484,21157.077,23815995
Austria,3.049690499,13143.432,8629519
Belgium,2.428165588,12647.776,11238474
Canada,1.693242854,27004.698,35702908
Czech Republic,1.916889603,6852.955,10542942
Denmark,3.054966482,8515.669,5678348
Finland,2.871963479,6687.872,5479528
France,2.267030775,61629.121,66512558
Germany,2.933791744,114097.564,81686608
Greece,0.96747359,2797.411,10820883
Hungary,1.34065748,3533.59,9843025
Iceland,2.18138989,355.053,330818
Ireland,1.182674778,3839.388,4687787
Italy,1.33850443,29994.847,60229599
Japan,3.240707296,168514.032,127094745
Korea,3.978200252,76922.04,51014947
Luxembourg,1.302198172,751.537,569605
Mexico,0.429427152,9577.037,121347800
Netherlands,2.146062075,18281.974,16939925
New Zealand,1.228166366,2121.766,4609400
Norway,1.935260327,6061.828,5189898
Poland,1.002752744,10232.017,38454576
Portugal,1.243297938,3819.784,10358076
Slovak Republic,1.162467491,1886.431,5423800.5
Spain,1.222357297,19815.265,46410149
Sweden,3.21903452,15489.052,9799183
Switzerland,3.264438349,17850.126,8282398
Turkey,0.876893337,17734.271,78218488
United Kingdom,1.647495547,45665.946,65110034
United States,2.718964886,495094,320738994
Argentina,0.618540979,5363.844,43131966
Chile,0.380727106,1552.903,17971423
China,2.05701037,366080.932,1406847868
Estonia,1.457111285,563.302,1314608
Israel,4.260854631,12666.909,8380149
Romania,0.48838137,2090.917,19822250
Russia,1.100852282,38818.631,146406004
Singapore,2.181981045,10503.907,3902690
Slovenia,2.19564741,1433.009,2063077
South Africa,0.798459349,5551.117,55319826
Taiwan,2.99980018,33058.821,23492074
