Country,Weight
中國大陸,3235
美國,1775
菲律賓,847
香港,718
日本,524
越南,416
馬來西亞,298
大韓民國,258
加拿大,244
新加坡,217
澳大利亞,214
德國,153
泰國,115
印尼,113
英國,64
澳門,38
柬埔寨王國,23
荷蘭,20
密克羅尼西亞,17
法國,16
紐西蘭,15
貝里斯,14
南非,9
緬甸,8
汶萊,6
俄羅斯,5
阿拉伯聯合大公國,4
拉脫維亞,3
帛琉群島,3
卡達,3
瑞士,3
墨西哥,3
比利時,2
哥倫比亞,2
波蘭,2
匈牙利,2
愛爾蘭,2
巴西,2
立陶宛,1
土耳其,1
哥斯大黎加,1
瑞典,1
阿根廷,1
挪威,1
丹麥,1
捷克,1
蒙古,1
斐濟群島,1
關島,1
義大利,1
秘魯,1
多明尼加,1
斯里蘭卡,0
阿曼,0
沙烏地阿拉伯,0
瓜德魯普島,0
孟加拉,0
奈及利亞,0
黎巴嫩,0
亞美尼亞,0
馬達加斯加,0
愛沙尼亞,0
瓜地馬拉,0
巴拿馬,0
模里西斯,0
智利,0
美屬薩摩亞,0
烏克蘭,0
尼加拉瓜,0
留尼旺,0
科威特,0
阿魯巴,0
烏拉圭,0
委內瑞拉,0
巴基斯坦,0
斯洛伐克,0
芬蘭,0
喬治亞,0
羅馬尼亞,0
以色列,0
塞內加爾,0
馬紹爾群島,0
史瓦帝尼,0
巴拉圭,0
迦納,0
巴布亞紐幾內亞,0
諾魯,0
新喀里多尼亞島,0
薩爾瓦多,0
西班牙,0
納米比亞,0
吐瓦魯,0
希臘,0
其他國家,0
馬拉威,0
塞席爾共和國,0
海地,0
